시장,년,월,금액,년월_str
용인시장,2024,9,21850000,2024-09
수원시장,2024,9,7153940,2024-09
고양시장,2024,9,16140430,2024-09
수원시장,2024,10,9020180,2024-10
고양시장,2024,10,18403150,2024-10
용인시장,2024,10,10970000,2024-10
수원시장,2024,11,6723160,2024-11
고양시장,2024,11,1382400,2024-11
용인시장,2024,11,17170000,2024-11
고양시장,2024,12,1000000,2024-12
용인시장,2024,12,20730000,2024-12
수원시장,2024,12,9532700,2024-12
수원시장,2025,1,11149700,2025-01
고양시장,2025,1,2300000,2025-01
용인시장,2025,1,25250000,2025-01
고양시장,2025,2,9386020,2025-02
용인시장,2025,2,15560000,2025-02
수원시장,2025,2,11225000,2025-02
수원시장,2025,3,11898290,2025-03
고양시장,2025,3,1000000,2025-03
용인시장,2025,3,12820000,2025-03
수원시장,2025,4,11187700,2025-04
고양시장,2025,4,9324120,2025-04
용인시장,2025,4,16900000,2025-04
고양시장,2025,5,9859000,2025-05
수원시장,2025,5,10329780,2025-05
용인시장,2025,5,13800000,2025-05
용인시장,2025,6,11980000,2025-06
고양시장,2025,6,12642360,2025-06
수원시장,2025,6,8160890,2025-06
고양시장,2025,7,6753300,2025-07
용인시장,2025,7,11590000,2025-07
수원시장,2025,7,10280530,2025-07
고양시장,2025,8,5320360,2025-08
용인시장,2025,8,18420000,2025-08
수원시장,2025,8,5301210,2025-08
고양시장,2025,9,4050250,2025-09
용인시장,2025,9,13770000,2025-09
수원시장,2025,9,8444300,2025-09
