번호,사용자,사용일시,사용장소,집행목적,대상인원,사용금액,결제방법,비목,비고
1,용인시장,2025-10-01,_,경조사비,3,150000,현금,기관,
2,용인시장,2025-10-01 13:00,진주옥냉면,용인시 전문체육 육성지원 관련 체육관계자 업무협의,8,252000,카드,기관,
3,용인시장,2025-10-01 17:59,밥과함께라면 단국대,외부출장 수행직원 격려,3,31500,카드,기관,
4,용인시장,2025-10-02 10:48,본도시락용인역북점,시정홍보를 위한 관련부서 오찬 간담회,20,401000,카드,기관,
5,용인시장,2025.10.02. 14:07,빵이야,추석명절 사회복지시설 방문 격려물품 구입,-,100000,카드,기관,
6,용인시장,2025.10.02. 14:14,용천상회,추석명절 사회복지시설 방문 격려물품 구입,-,150000,카드,기관,
7,용인시장,2025.10.02. 14:17,엄마네전,추석명절 사회복지시설 방문 격려물품 구입,-,144000,카드,기관,
8,용인시장,2025.10.02. 14:19,경기떡집(경기제분소),추석명절 사회복지시설 방문 격려물품 구입,-,350000,카드,기관,
9,용인시장,2025.10.02. 14:24,두부마을(혜미식품),추석명절 사회복지시설 방문 격려물품 구입,-,50000,카드,기관,
10,용인시장,2025.10.02. 14:32,대박축산,추석명절 사회복지시설 방문 격려물품 구입,-,400000,카드,기관,
11,용인시장,2025.10.02. 14:39,성수청과,추석명절 사회복지시설 방문 격려물품 구입,-,305000,카드,기관,
12,용인시장,2025-10-02 16:28,스타벅스 코리아,외부출장 수행직원 격려,4,16800,카드,기관,
13,용인시장,2025-10-02 16:40,스타벅스 코리아,외부출장 수행직원 격려,4,4700,카드,기관,
14,용인시장,2025-10-10,_,경조사비,1,50000,현금,기관,
15,용인시장,2025-10-10,제이1 농업회사법인 주식회사,내방객 기념품(특산품) 구입비 지출,-,696600,계좌이체,시책,
16,용인시장,2025-10-10 8:13,탄천(하)휴게소,외부출장 수행직원 격려(화순군 자매결연 협약체결),3,10400,카드,기관,
17,용인시장,2025-10-10 8:15,탄천(하)휴게소,외부출장 수행직원 격려(화순군 자매결연 협약체결),3,4600,카드,기관,
18,용인시장,2025-10-10 8:16,탄천(하)휴게소,외부출장 수행직원 격려(화순군 자매결연 협약체결),3,11000,카드,기관,
19,용인시장,2025-10-10 8:22,탄천(하)휴게소,외부출장 수행직원 격려(화순군 자매결연 협약체결),3,12000,카드,기관,
20,용인시장,2025-10-10 16:54,스타벅스 코리아,외부출장 수행직원 격려(화순군 자매결연 협약체결),3,29900,카드,기관,
21,용인시장,2025-10-11 22:07,오늘. 와인한잔,보정동 카페거리 활성화를 위한 간담회,14,594500,카드,시책,
22,용인시장,2025-10-12 11:47,슬로 용인,주말 행사 수행직원 격려,6,73000,카드,기관,
23,용인시장,2025-10-12 12:05,영애네꼬마김밥,주말 행사 수행직원 격려,6,52000,카드,기관,
24,용인시장,2025-10-13,_,경조사비,4,200000,현금,기관,
25,용인시장,2025-10-13 12:35,처인옥 정육점,미국 윌리엄슨카운티 대표단 오찬 간담회 참석,15,750000,카드,기관,
26,용인시장,2025.10.13 12:24,본도시락용인역북점,추석명절 상황근무자 격려,113,1231700,카드,기관,
27,용인시장,2025-10-14 10:42,사담손만두용인점,업무보고 일정조정 및 민원응대 직원 격려,8,96000,카드,기관,
28,용인시장,2025-10-14 11:13,영애네꼬마김밥,업무보고 일정조정 및 민원응대 직원 격려,8,40000,카드,기관,
29,용인시장,2025-10-14 10:57,SSG.COM,내방객 접견을 위한 다과 등 물품 구입,-,158840,카드,시책,
30,용인시장,2025-10-15 10:56,본도시락용인역북점,시정 현안사항 논의를 위한 오찬 간담회,8,259200,카드,기관,
31,용인시장,2025-10-16 17:57,버드79,기흥구 상권 활성화를 위한 차담회,16,224100,카드,시책,
32,용인시장,2025-10-15 19:49,만강,민선8기 시정홍보 관련 언론관계자 업무협의,8,265000,카드,시책,
33,용인시장,2025-10-16 8:58,스타벅스 코리아,외부출장 수행 직원 격려,8,39700,카드,기관,
34,용인시장,2025-10-16 20:48,삿뽀로판교점,민선8기 시정홍보 관련 언론관계자 업무협의,8,332000,카드,시책,
35,용인시장,2025-10-17 22:39,전라도밥상,용인중앙시장 상권 활성화를 위한 간담회,21,984000,카드,기관,
36,용인시장,2025-10-17 11:38 신,세계 사우스시티(키미김밥,) 외부출장 수행 직원 격려,5,88000,카드,기관,
37,용인시장,2025-10-17 14:12,나인블럭 신갈점/(주),외부출장 수행 직원 격려,3,24000,카드,기관,
38,용인시장,2025-10-19 10:54신세,계 사우스시티(다이마루수,산) 주말 행사 수행직원 격려,10,270900,카드,기관,
39,용인시장,2025-10-20 21:06,수제갈비진상,민선8기 시정홍보 관련 언론관계자 업무협의,8,320000,카드,시책,
40,용인시장,2025-10-20 11:28,역북꼬마김밥,외부출장 수행 직원 격려,4,24000,카드,기관,
41,용인시장,2025-10-22 20:19,돈다랑,업무보고 일정조정 및 민원응대 직원 격려,12,450000,카드,기관,
42,용인시장,2025-10-22 13:04,홍복해물,민선8기 시정홍보 관련 언론관계자 업무협의,4,102000,카드,시책,
44,용인시장,2025-10-29 14:12,양지바른보호작업장,내방객 기념품(특산품) 구입비 지출,-,1170000,카드,시책,
45,용인시장,2025-10-30 12:45,김남희한우,민선8기 시정홍보 관련 언론관계자 업무협의,10,335000,카드,시책,
43,용인시장,2025-10-31 10:31,노브랜드용인삼가점,2025년 경기도 청원경찰 한마음 체육행사 참석직원 격려,21,199960,카드,기관,
46,용인시장,2025-10-31 13:09,주식회사 미가훠궈,민선8기 시정정책 공유 및 소통을 위한 주민간담회,8,200800,카드,시책,
47,용인시장,2025-10-31 14:56,경기용인지역자활센터,내방객 기념품(특산품) 구입비 지출,-,420000,카드,시책,
