번호,사용자,사용일시,사용장소,집행목적,대상인원,사용금액,결제방법,비목,비고
1,용인시장,2024-09-02 10:11:00.038000,슬로 용인,내방객 접견 다과 등 물품 구입,-,119100,카드,시책,
2,용인시장,2024-09-02 15:09:59.962000,SSG.COM,내방객 접견 다과 등 물품 구입,-,206920,카드,시책,
3,용인시장,2024-09-02 16:41:59.971000,샐러디 용인역북점,내방객 접견 다과 등 물품 구입,-,57000,카드,시책,
4,용인시장,2024-09-03 11:06:59.962000,포케올데이용인역북점,업무보고조정 및 수행직원 격려,7,109200,카드,기관,
5,용인시장,2024-09-03 20:01:00.019000,아낙감,시정홍보 관련 언론관계자 업무협의,4,105000,카드,시책,
6,용인시장,2024-09-04 11:26:00.010000,트루바이,오후일정 수행직원 격려,9,119800,카드,기관,
7,용인시장,2024-09-04 14:33:00,양지바른보호작업장,내방객 접견 다과 등 물품 구입,-,148000,카드,시책,
8,용인시장,2024-09-05 12:09:00,소바랑,도로개설 및 도시계획도로 업무추진 관련 업무협의,8,123000,카드,시책,
9,용인시장,2024-09-05 12:36:00,이당비스트로 용인점,재난예방 시민참여체계 구축을 위한 유관기관 업무협의,10,286000,카드,시책,
10,용인시장,2024-09-06 00:00:00,,경조사비,1,50000,현금,,
11,용인시장,2024-09-06 10:54:00.029000,샌두,사회복지의날 행사 및 외부행사 수행직원 격려,10,157600,카드,기관,
12,용인시장,2024-09-06 17:26:59.971000,(주)이마트용인점,추석명절 사기진작 격려물품 구입,46,1715000,카드,기관,
13,용인시장,2024-09-06 19:09:00.029000,양지리가마솥해장국,저녁행사 수행직원 격려,2,26000,카드,기관,
14,용인시장,2024-09-07 11:12:00.029000,타타스베이글,휴일행사 수행직원 격려,3,30000,카드,기관,
15,용인시장,2024-09-07 14:37:00.019000,영애네꼬마김밥,휴일행사 수행직원 격려,3,35000,카드,기관,
16,용인시장,2024-09-09 12:31:00.019000,콩마당손두부,농산물 유통관리 및 친환경농업 관련 업무협의,6,120000,카드,기관,
17,용인시장,2024-09-09 12:47:00.010000,처인옥 정육점,시정정책 설명 및 공유를 위한 소통 간담회 실시,12,305000,카드,시책,
18,용인시장,2024-09-09 20:26:59.971000,락앤웍(성복점),시정홍보 관련 언론관계자 업무협의,6,162000,카드,기관,
19,용인시장,2024-09-10 14:26:00.010000,나래강정,추석명절 사회복지시설 방문 격려물품 구입,-,10000,카드,기관,
20,용인시장,2024-09-10 14:26:00.010000,세종지엔씨,추석명절 사회복지시설 방문 격려물품 구입,-,40000,카드,기관,
21,용인시장,2024-09-10 14:30:00.029000,혜미식품,추석명절 사회복지시설 방문 격려물품 구입,-,30000,카드,기관,
22,용인시장,2024-09-10 14:30:00.029000,부부야채,추석명절 사회복지시설 방문 격려물품 구입,-,30000,카드,기관,
23,용인시장,2024-09-10 14:35:59.971000,용인떡집,추석명절 사회복지시설 방문 격려물품 구입,-,50000,카드,기관,
24,용인시장,2024-09-10 14:42:00,민속전집,추석명절 사회복지시설 방문 격려물품 구입,-,50000,카드,기관,
25,용인시장,2024-09-10 14:46:00.019000,장수순대,추석명절 사회복지시설 방문 격려물품 구입,-,150000,카드,기관,
26,용인시장,2024-09-10 14:48:00.029000,소영건어물,추석명절 사회복지시설 방문 격려물품 구입,-,150000,카드,기관,
27,용인시장,2024-09-10 14:48:59.990000,송엘림치킨,추석명절 사회복지시설 방문 격려물품 구입,-,200000,카드,기관,
28,용인시장,2024-09-10 14:51:00,(주) 지엠푸드,추석명절 사회복지시설 방문 격려물품 구입,-,50000,카드,기관,
29,용인시장,2024-09-10 15:24:59.990000,용인떡집,추석명절 사회복지시설 방문 격려물품 구입,-,200000,카드,기관,
30,용인시장,2024-09-10 15:26:00.038000,맛뜰(용인강정),추석명절 사회복지시설 방문 격려물품 구입,-,100000,카드,기관,
31,용인시장,2024-09-10 15:27:59.962000,신흥정육점,추석명절 사회복지시설 방문 격려물품 구입,-,250000,카드,기관,
32,용인시장,2024-09-10 15:33:59.990000,이레과일,추석명절 사회복지시설 방문 격려물품 구입,-,300000,카드,기관,
33,용인시장,2024-09-10 20:57:00.029000,홍복해물,시정홍보 관련 언론관계자 업무협의,4,106000,카드,시책,
34,용인시장,2024-09-11 00:00:00,,경조사비,1,50000,현금,기관,
35,용인시장,2024-09-11 12:44:00.038000,백채김치찌개,보육사업 지원을 위한 관계자 업무협의,6,81000,카드,시책,
36,용인시장,2024-09-11 12:49:00.019000,라보나쿠치나,신규공직자 공직생활 격려,18,386000,카드,기관,
37,용인시장,2024-09-11 13:21:59.962000,스타벅스 코리아,관외행사 출장에 따른 수행직원 격려,3,14700,카드,기관,
38,용인시장,2024-09-11 14:08:59.971000,양지바른보호작업장,내방객 기념품(특산품) 구입,-,1663200,카드,시책,
39,용인시장,2024-09-11 20:46:59.981000,우호식어가,지역문화행사 개최 관련 관계자 업무협의,5,131000,카드,시책,
40,용인시장,2024-09-12 11:30:59.990000,슬로우캘리 용인역북,내방객 접대 및 일정조정 직원 격려,7,139000,카드,기관,
41,용인시장,2024-09-12 13:47:00.038000,아홉색깔농부협동조합,내방객 기념품(특산품) 구입,-,220000,카드,시책,
42,용인시장,2024-09-12 13:50:59.971000,정원유통(정일11번),내방객 접견 다과 등 물품 구입,-,280000,카드,시책,
43,용인시장,2024-09-12 19:54:00.029000,로얄피그,도시계획 업무추진 관련 관계자 업무협의,16,474000,카드,시책,
44,용인시장,2024-09-12 21:22:00.019000,스시율,시정 정책설명 등을 위한 간담회 실시,7,192000,카드,시책,
45,용인시장,2024-09-13 11:59:00.038000,백리향,내방객 접대 및 현장출장 수행직원 격려,8,125000,카드,기관,
46,용인시장,2024-09-13 12:35:00.038000,풀오브(Full of),내방객 접대 및 현장출장 수행직원 격려,8,32000,카드,기관,
47,용인시장,2024-09-19 11:41:00.038000,인피펍(인생피자),내방객 접대 및 수행직원 격려,8,166600,카드,기관,
48,용인시장,2024-09-19 15:13:00.019000,SSG.COM,내방객 접견 다과 등 물품 구입,-,196280,카드,시책,
49,용인시장,2024-09-19 15:53:00.038000,본도시락용인역북점,추석명절 상황실 근무자 격려,81,826200,카드,기관,
50,용인시장,2024-09-20 12:31:59.981000,플레이트416,경기도지사기 공무원 친선체육대회 동행 수행직원 격려,9,245000,카드,기관,
51,용인시장,2024-09-21 12:49:00.019000,홍복해물,전국노래자랑 행사지원 직원 격려,20,425000,카드,기관,
52,용인시장,2024-09-21 21:24:59.990000,처인옥 정육점,별당마켓 오픈행사지원 직원 격려,18,495000,카드,기관,
53,용인시장,2024-09-22 13:25:59.981000,더(THE)615,흥덕어울림 한마당 행사지원 직원 격려,23,360000,카드,기관,
54,용인시장,2024-09-23 09:47:59.971000,슬로 용인,지역 맞춤형 인재양성 및 교육현안 논의 관련 관계자 업무협의,12,116800,카드,시책,
55,용인시장,2024-09-23 12:18:59.962000,주식회사 명선헌명가,시정홍보 관련 언론관계자 업무협의,12,480000,카드,기관,
56,용인시장,2024-09-23 15:36:00,정원유통(정일11번),공무원 직장동호회 체육대회 추진 관련 관계부서 직원 격려,40,290000,카드,기관,
57,용인시장,2024-09-23 18:18:59.962000,허브로(HERBRO),내방객 기념품(특산품) 구입,-,1050000,카드,시책,
58,용인시장,2024-09-24 00:00:00,,경조사비,1,50000,현금,기관,
59,용인시장,2024-09-24 10:25:00.019000,농업회사법인(주) 술샘,내방객 기념품(특산품) 구입,-,620000,카드,시책,
60,용인시장,2024-09-24 12:51:59.990000,안동국시 청와정,지역 맞춤형 인재양성 및 교육현안 논의 관련 관계자 업무협의,14,231000,카드,시책,
61,용인시장,2024-09-25 15:08:00.038000,양지바른보호작업장,내방객 기념품(특산품) 구입,-,900000,카드,시책,
62,용인시장,2024-09-25 20:35:59.971000,제줏간 용인역북점,용인 동서지역 균형발전 및 지역상황 관리 관련 관계자 업무협의,10,273100,카드,시책,
63,용인시장,2024-09-26 00:00:00,,,2,100000,현금,기관,
64,용인시장,2024-09-26 21:24:00.029000,홍복해물,가축전염병 백신예방접종 관련 관계자 업무협의,8,234000,카드,시책,
65,용인시장,2024-09-27 00:00:00,,2024년 현장근무직원 격려금,1,300000,현금,기관,
66,용인시장,2024-09-27 12:58:00.019000,칼리오페,시정운영발전을 위한 간담회 개최,31,1300000,카드,기관,
67,용인시장,2024-09-27 16:39:59.962000,밥과함께라면 용인시,외부일정 수행직원 격려,3,26500,카드,기관,
68,용인시장,2024-09-28 09:36:59.962000,타타스베이글 용인유림,수지나눔문화축제 행사지원 및 촬영협조 직원 격려,9,74200,카드,기관,
69,용인시장,2024-09-28 10:16:00.019000,슬로 용인,수지나눔문화축제 행사지원 및 촬영협조 직원 격려,9,43300,카드,기관,
70,용인시장,2024-09-28 20:44:00.010000,주식회사 드마리스에이,제29회 용인시민의 날 교류도시 초청 환영 만찬,52,2430000,카드,기관,
71,용인시장,2024-09-30 00:00:00,,경조사비,3,150000,현금,기관,
72,용인시장,2024-09-30 12:38:00.010000,홍익돈까스,외부일정 수행직원 격려,2,27000,카드,기관,
73,용인시장,2024-09-30 12:45:59.962000,동백궁,초등학교 학부모 간담회 개최 부서 직원 격려,9,130000,카드,기관,
74,용인시장,2024-09-30 12:51:59.990000,시골애 낙지볶음,현장의견 수렴 및 민원소통을 위한 관계자 업무협의,7,128000,카드,시책,
75,용인시장,2024-09-30 12:56:00.010000,카페브라운,현장의견 수렴 및 민원소통을 위한 관계자 업무협의,7,53500,카드,시책,
76,용인시장,2024-09-30 20:41:00.038000,시우가든,2024년 제9기 5급 승진리더과정 등 교육참여 직원 격려,15,748000,카드,기관,
77,용인시장,2024-10-01 13:11:00.038000,석성산,장애인 정책사업 설명에 따른 장애인단체 관계자 간담회 실시,19,600000,카드,시책,
78,용인시장,2024-10-02 09:49:00.019000,제이앤제이카페앤바,내방객 기념품(특산품) 구입,-,950000,카드,시책,
79,용인시장,2024-10-02 10:18:59.990000,(주)이마트용인점,내방객 기념품(특산품) 구입,-,90000,카드,시책,
80,용인시장,2024-10-02 12:49:00.019000,청송본가,3개구 노인회지회 관계자 간담회 실시,13,580000,카드,시책,
81,용인시장,2024-10-02 12:58:00.019000,재벌집,업무추진 및 생활밀착형 사업발굴 관련 관계자 업무협의,8,221000,카드,시책,
82,용인시장,2024-10-02 13:50:59.971000,양지바른보호작업장,내방객 기념품(특산품) 구입,-,1350000,카드,시책,
83,용인시장,2024-10-02 16:45:59.990000,카멜리아,외부일정 수행 직원 격려,7,83400,카드,기관,
84,용인시장,2024-10-03 10:27:00.029000,슬로 용인,휴일행사 수행직원 격려,5,56000,카드,기관,
85,용인시장,2024-10-05 11:46:00.019000,스타벅스 코리아,북페스티벌 행사 관련 관계부서 직원 격려,25,143700,카드,기관,
86,용인시장,2024-10-06 11:12:00.029000,슬로 용인,휴일행사 수행직원 격려,3,24000,카드,기관,
87,용인시장,2024-10-07 11:44:59.971000,본도시락용인역북점,외부일정 수행직원 격려 식대,5,69500,카드,기관,
88,용인시장,2024-10-08 12:31:59.981000,이향가든,관내기업 해외시장 개척 업무추진 관련 관계자 업무협의,10,208000,카드,시책,
89,용인시장,2024-10-10 00:00:00,,경조사비,1,50000,현금,기관,
90,용인시장,2024-10-10 12:31:59.981000,경자국밥,가축전염병 발생에 따른 방역 관련 관계자 업무협의,10,103000,카드,시책,
91,용인시장,2024-10-10 13:16:00.019000,호접몽,6급 장기교육생 애로사항 청취 및 격려,33,1315000,카드,기관,
92,용인시장,2024-10-10 13:34:59.981000,(Kirotti)기로띠,출장 및 주말행사 수행에 따른 직원 격려,3,23000,카드,기관,
93,용인시장,2024-10-10 20:50:00.038000,대원생고기전문점,농산물 유통관리 및 친환경농업 관련 관련 관계자 업무협의,8,230000,카드,시책,
94,용인시장,2024-10-11 11:24:59.962000,슬로 용인,외부행사 및 출장수행 직원 격려,3,39600,카드,기관,
95,용인시장,2024-10-11 21:33:59.990000,맛나새,중앙시장 별빛마당 야시장 개최 및 활성화 방안 관련 관계자 업무협의,22,480000,카드,시책,
96,용인시장,2024-10-12 13:25:59.981000,스타벅스 코리아,출장 및 주말행사 수행에 따른 직원 격려,3,16400,카드,기관,
97,용인시장,2024-10-13 21:13:59.981000,몽중헌 판교,물사랑 운동본부 환경정화행사 관련 직원 격려,12,284700,카드,기관,
98,용인시장,2024-10-14 00:00:00,,경조사비,1,50000,현금,기관,
99,용인시장,2024-10-14 12:20:00.010000,송도갈비,외부행사 및 출장수행 직원 격려,2,34000,카드,기관,
100,용인시장,2024-10-14 12:40:59.981000,죽전긴자,지역 균형발전 및 지역상황 관리를 위한 관계자 업무협의,3,80000,카드,시책,
101,용인시장,2024-10-14 13:12:00,엠에스리테일(주)용인,내방객 접견 다과 등 물품 구입,-,196800,카드,시책,
102,용인시장,2024-10-14 20:30:00.029000,아낙감,반도체특화도시 및 민선8기 시정홍보관련 관계자 업무협의,12,470000,카드,기관,
103,용인시장,2024-10-15 12:56:59.971000,다리원,시정정책 공유 및 소통을 위한 간담회 실시,18,485000,카드,시책,
104,용인시장,2024-10-16 11:53:00.010000,샐러디 용인역북점,외부행사 및 출장수행 직원 격려,5,50400,카드,기관,
105,용인시장,2024-10-16 13:50:00.010000,양지바른보호작업장,내방객 기념품(특산품) 구입,-,1350000,카드,시책,
106,용인시장,2024-10-17 11:10:59.981000,본도시락용인역북점,2025년도 본예산 중간보고회 관련 관계부서 직원 노고 격려,13,187200,카드,기관,
107,용인시장,2024-10-18 11:51:59.962000,부흥각,도시계획도로 업무추진 관련 관계자 업무협의,5,78000,카드,시책,
